%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(gammaRad)","max(X)","max(Y)","max(Z)","max(gammaRad)","med(X)","med(Y)","med(Z)","med(gammaRad)","min(X)","min(Y)","min(Z)","min(gammaRad)","q1(X)","q1(Y)","q1(Z)","q1(gammaRad)","q3(X)","q3(Y)","q3(Z)","q3(gammaRad)","std(X)","std(Y)","std(Z)","std(gammaRad)","vtkValidPointMask"
176,39500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,40000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,40500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,41000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,41500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,42000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,42500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,43000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,43500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,44000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,44500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,45000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,45500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,46000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,46500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
